Traded_Companies,No_Of_Transaction,Max_Price,Min_Price,Closing_Price,Traded_Shares,Amount,Previous_Closing,Difference_Rs
Nepal Bangladesh Bank Limited,664,240.00,234.00,238.00,223998.00,53206815.00,231.00,7.00 
Nepal Bank Limited,355,345.00,338.00,345.00,213663.00,73039545.00,343.00,2.00 
Nepal Credit And Commercial Bank Limited,132,234.00,229.00,230.00,82094.00,18934898.00,234.00,-4.00 
Nepal Doorsanchar Comapany Limited,835,954.00,909.00,940.00,330501.00,308551660.00,954.00,-14.00 
Nepal Finance Ltd.,19,272.00,267.00,271.00,2020.00,544927.00,271.00,0.00 
Nepal Hydro Developers Ltd.,22,248.00,239.00,239.00,2930.00,713690.00,253.00,-14.00 
Nepal Insurance Co. Ltd.,265,615.00,567.00,615.00,67444.00,39084934.00,573.00,42.00 
Nepal Investment Bank Limited,301,428.00,418.00,420.00,49129.00,20657308.00,428.00,-8.00 
Nepal Investment Bank Ltd. Promoter Share,35,371.00,356.00,365.00,14477.00,5243617.00,376.00,-11.00 
Nepal Life Insurance Co. Ltd.,1370,1627.00,1519.00,1620.00,163906.00,259491025.00,1519.00,101.00 
Nepal Reinsurance Company Limited,2789,1044.00,961.00,1037.00,337844.00,336259920.00,983.00,54.00 
Nepal SBI Bank Limited,193,421.00,412.00,415.00,41098.00,17060229.00,428.00,-13.00 
Nepal Seva Laghubitta Bittiya Sanstha Ltd.,9,734.00,716.00,725.00,350.00,253280.00,748.00,-23.00 
Nerude Laghubita Bikas Bank Limited,58,809.00,795.00,798.00,6730.00,5377430.00,825.00,-27.00 
Ngadi Group Power Ltd.,101,218.00,202.00,206.00,37411.00,7704094.00,214.00,-8.00 
NIBL Pragati Fund,29,10.30,10.10,10.30,543344.00,5530320.56,10.22,0.08 
NIBL Samriddhi Fund 1,16,10.98,10.70,10.89,28000.00,303575.00,10.65,0.24 
NIC Asia Balanced Fund,17,10.30,10.00,10.22,27300.00,277935.00,10.10,0.12 
NIC Asia Bank Ltd.,1006,675.00,644.00,670.00,274516.00,181227572.00,644.00,26.00 
NIC Asia Growth Fund,32,11.00,10.59,10.59,92950.00,1006343.50,10.70,-0.11 
Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,59,999.00,984.00,996.00,5044.00,5004119.00,989.00,7.00 
NLG Insurance Company Ltd.,115,710.00,689.00,710.00,19268.00,13480354.00,687.00,23.00 
NMB  Microfinance Bittiya Sanstha Ltd.,37,904.00,881.00,885.00,2745.00,2441379.00,900.00,-15.00 
NMB 50,8,10.09,9.75,9.94,4500.00,44637.00,10.09,-0.15 
NMB Bank Limited,576,436.00,425.00,427.00,124249.00,53298985.00,428.00,-1.00 
NMB Hybrid Fund L-1,55,10.51,10.15,10.45,203594.00,2113100.28,10.15,0.30 
NRN Infrastructure and Development Limited,393,372.00,360.00,364.00,16120.00,5861310.00,362.00,2.00 
Oriental Hotels Limited,209,467.00,415.00,459.00,65799.00,29330299.00,426.00,33.00 
Panchakanya Mai Hydropower Ltd,108,149.00,138.00,141.00,14702.00,2065699.00,146.00,-5.00 
Panchthar Power Compant Limited,48,218.00,209.00,215.00,3220.00,684840.00,222.00,-7.00 
Pokhara Finance Ltd.,87,205.00,189.00,205.00,20710.00,3981035.00,194.00,11.00 
Prabhu  Bank Limited,1633,297.00,285.00,297.00,567977.00,165966078.00,282.00,15.00 
Prabhu Insurance Ltd.,285,637.00,610.00,637.00,54434.00,34161655.00,611.00,26.00 
Premier Insurance Co. Ltd.,286,840.00,780.00,829.00,43900.00,35845889.00,795.00,34.00 
Prime Commercial Bank Ltd.,584,360.00,349.00,350.00,189120.00,66717822.00,346.00,4.00 
Prime Life Insurance Company Limited,283,738.00,705.00,733.00,71754.00,51938483.00,704.00,29.00 
ProgressiveFinance Limited,48,142.00,138.00,139.00,27835.00,3869164.00,140.00,-1.00 
Prudential Insurance Co. Ltd.,265,565.00,526.00,565.00,72476.00,39637392.00,534.00,31.00 
Radhi Bidyut Company Ltd,15,286.00,276.00,282.00,637.00,177808.00,291.00,-9.00 
