Date,No_Of_Transaction,Max_Price,Min_Price,Closing_Price,Traded_Shares,Amount,Previous_Closing,Difference_Rs
2020-12-17,406,1510.0,1440.0,1468.0,41755.0,61235216.0,1483.0,-15.00 
2020-12-16,355,1500.0,1450.0,1483.0,54079.0,80203840.0,1492.0,-9.00 
2020-12-15,686,1529.0,1452.0,1492.0,73733.0,110588318.0,1444.0,48.00 
2020-12-14,554,1445.0,1380.0,1444.0,51614.0,73350381.0,1360.0,84.00 
2020-12-13,264,1383.0,1349.0,1360.0,31486.0,42786532.0,1334.0,26.00 
2020-12-10,319,1370.0,1299.0,1334.0,24208.0,32330349.0,1340.0,-6.00 
2020-12-09,388,1410.0,1335.0,1340.0,31835.0,43043012.0,1389.0,-49.00 
2020-12-08,630,1451.0,1376.0,1389.0,61900.0,87665677.0,1369.0,20.00 
2020-12-07,845,1377.0,1231.0,1369.0,95755.0,126492818.0,1287.0,82.00 
2020-12-06,712,1430.0,1287.0,1287.0,66930.0,91112478.0,1430.0,-143.00 
2020-12-03,814,1474.0,1345.0,1430.0,79987.0,114276369.0,1340.0,90.00 
2020-12-02,633,1340.0,1230.0,1340.0,64083.0,83225294.0,1219.0,121.00 
2020-12-01,377,1241.0,1200.0,1219.0,49497.0,60505504.0,1210.0,9.00 
2020-11-30,395,1218.0,1183.0,1210.0,54511.0,65655675.0,1175.0,35.00 
2020-11-29,385,1197.0,1157.0,1175.0,49040.0,57599156.0,1160.0,15.00 
2020-11-26,504,1243.0,1160.0,1160.0,46927.0,56265712.0,1174.0,-14.00 
2020-11-25,448,1180.0,1100.0,1174.0,59655.0,68430192.0,1096.0,78.00 
2020-11-24,203,1104.0,1080.0,1096.0,47912.0,52089484.0,1096.0,0.00 
2020-11-23,221,1109.0,1082.0,1096.0,32328.0,35445628.0,1104.0,-8.00 
2020-11-22,479,1140.0,1042.0,1104.0,60098.0,66335355.0,1080.0,24.00 
2020-11-19,322,1082.0,1058.0,1080.0,49318.0,52611378.0,1053.0,27.00 
2020-11-18,231,1059.0,1028.0,1053.0,32384.0,33894676.0,1031.0,22.00 
2020-11-12,288,1061.0,1030.0,1031.0,39910.0,41409367.0,1051.0,-20.00 
2020-11-11,556,1075.0,1031.0,1051.0,72972.0,76555659.0,1024.0,27.00 
2020-11-10,244,1053.0,1016.0,1024.0,34349.0,35476016.0,1033.0,-9.00 
2020-11-09,514,1048.0,993.0,1033.0,68630.0,70388470.0,993.0,40.00 
2020-11-08,283,995.0,970.0,993.0,53571.0,52783541.0,971.0,22.00 
2020-11-05,207,985.0,967.0,971.0,34166.0,33197797.0,970.0,1.00 
2020-11-04,173,980.0,962.0,970.0,26259.0,25489231.0,970.0,0.00 
